psiturk_id_sa,trial_no_sa,Participant_data_sa,psiturk_id_w,trial_no_w,Participant_data_w,psiturk_id_q,trial_no_q,Participant_data_q,state,action,observation,end_state,reward,cost,nearness_to_berth,total_reward
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,16,low,debug02Bzm:debugGvW87,50, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_low_block_berth_1,wh_question,command_drop_berth_2,high_low_drop_berth_2,50,-5,1,46
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,23,low,debug02Bzm:debugGvW87,25, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_low_block_berth_1,wh_question,command_drop_berth_2,high_low_drop_berth_2,50,-5,1,46
debug02Bzm:debugGvW87,53,high,debug02Bzm:debugGvW87,44,high,debug02Bzm:debugGvW87,57, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,high_high_block_berth_3,wh_question,command_drop_berth_1,high_high_drop_berth_1,50,-5,1,46
debug02Bzm:debugGvW87,53,high,debug02Bzm:debugGvW87,86,high,debug02Bzm:debugGvW87,99, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_high_block_berth_2,wh_question,command_drop_berth_1,low_high_drop_berth_1,50,-5,1,46
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,113,high,debug02Bzm:debugGvW87,140, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_2,low_high_drop_berth_2,50,-5,1,46
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,173,high,debug02Bzm:debugGvW87,195, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_3,low_high_drop_berth_3,50,-5,-2,43
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,41,medium,debug09YJi:debuggibfO,43, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 1?,high_medium_block_berth_2,yn_question,command_yes_drop_berth_1,high_medium_drop_berth_1,50,-5,1,46
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,76,medium,debug09YJi:debuggibfO,114, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_medium_block_berth_3,yn_question,command_yes_drop_berth_2,high_medium_drop_berth_2,50,-5,1,46
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,173,low,debug09YJi:debuggibfO,182, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,high_low_block_berth_2,yn_question,command_yes_drop_berth_3,high_medium_drop_berth_3,50,-5,1,46
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,201,medium,debug09YJi:debuggibfO,230, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_medium_block_berth_3,yn_question,command_yes_drop_berth_2,high_high_drop_berth_2,50,-5,1,46
debug09YJi:debuggibfO,274,high,debug09YJi:debuggibfO,350,high,debug09YJi:debuggibfO,332, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 1?,high_high_block_berth_2,yn_question,command_yes_drop_berth_1,high_high_drop_berth_1,50,-5,1,46
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,27,medium,debug0a3UO:debugYJli2,9, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 1?,high_medium_block_berth_3,yn_question,command_yes_drop_berth_1,high_medium_drop_berth_1,50,-5,1,46
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,47,high,debug0a3UO:debugYJli2,49, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_high_block_berth_3,yn_question,command_yes_drop_berth_2,high_high_drop_berth_2,50,-5,1,46
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,75,medium,debug0a3UO:debugYJli2,87, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,high_medium_block_berth_2,yn_question,command_yes_drop_berth_3,low_medium_drop_berth_3,50,-5,1,46
debug0a3UO:debugYJli2,505,low,debug0a3UO:debugYJli2,144,medium,debug0a3UO:debugYJli2,158, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,low_medium_block_berth_3,yn_question,command_yes_drop_berth_2,high_medium_drop_berth_2,50,-5,1,46
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,201,medium,debug0a3UO:debugYJli2,233, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,low_medium_block_berth_1,yn_question,command_yes_drop_berth_2,low_low_drop_berth_2,50,-5,1,46
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,278,medium,debug0a3UO:debugYJli2,350, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,low_medium_block_berth_1,yn_question,command_yes_drop_berth_3,low_low_drop_berth_3,50,-5,1,46
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,23,low,debug0aYxj:debug4WLqg,50, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_low_block_berth_2,wh_question,command_drop_berth_1,high_low_drop_berth_1,50,-5,1,46
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,23,low,debug0aYxj:debug4WLqg,39, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_low_block_berth_1,wh_question,command_drop_berth_2,high_medium_drop_berth_2,50,-5,1,46
debug0aYxj:debug4WLqg,83,low,debug0aYxj:debug4WLqg,63,medium,debug0aYxj:debug4WLqg,85, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,low_medium_block_berth_2,wh_question,command_drop_berth_1,low_high_drop_berth_1,50,-5,1,46
debug0aYxj:debug4WLqg,83,low,debug0aYxj:debug4WLqg,130,high,debug0aYxj:debug4WLqg,138, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_2,high_high_drop_berth_2,50,-5,1,46
